0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:08 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:08 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:09 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:09 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:09 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:09 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:17 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:17 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:30 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:30 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:32 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:32 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:32 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:32 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:32 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:08:32 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:00 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:00 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:09:02 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 510
