127.0.0.1 - - [14/Oct/2016:11:17:36 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:17:39 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:17:39 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:17:39 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:17:39 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:17:39 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:41 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:49 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:50 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:50 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:50 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:50 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:26:50 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:25 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:25 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:25 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:25 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:25 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:36 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:36 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:36 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:36 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:36 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:47 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3231
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:47 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:47 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:47 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:27:47 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:24 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:24 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:24 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:24 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:24 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:29 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:29 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:29 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:29 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:29 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:47 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:47 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:47 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:47 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:38:47 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:44 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:44 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:44 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:44 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:44 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:46 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:46 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:46 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:46 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:45:46 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:46:44 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:46:44 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:46:44 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:46:44 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:11:46:44 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:42:37 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:42:37 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:42:37 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:42:37 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:42:37 +0530] "GET /TaskManagerChecklist/images/menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:43:30 +0530] "GET /TaskManagerChecklist/AddTask.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:43:30 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:13:43:30 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
